Date,ticker,indexed_value,sector
2025-09-10,XLB,100.0,Materials
2025-09-10,XLC,100.0,Communication Services
2025-09-10,XLE,100.0,Energy
2025-09-10,XLF,100.0,Financials
2025-09-10,XLI,100.0,Industrials
2025-09-10,XLK,100.0,Technology
2025-09-10,XLP,100.0,Consumer Staples
2025-09-10,XLRE,100.0,Real Estate
2025-09-10,XLU,100.0,Utilities
2025-09-10,XLV,100.0,Healthcare
2025-09-10,XLY,100.0,Consumer Discretionary
2025-09-11,XLB,102.09459227422235,Materials
2025-09-11,XLC,101.53550466570434,Communication Services
2025-09-11,XLE,100.02243335017234,Energy
2025-09-11,XLF,101.63656830180423,Financials
2025-09-11,XLI,100.95136305707248,Industrials
2025-09-11,XLK,100.3368475417102,Technology
2025-09-11,XLP,100.81310326549773,Consumer Staples
2025-09-11,XLRE,101.62446430019175,Real Estate
2025-09-11,XLU,100.53178726841114,Utilities
2025-09-11,XLV,101.74034165381465,Healthcare
2025-09-11,XLY,101.94528975334178,Consumer Discretionary
2025-09-12,XLB,101.06933978919453,Materials
2025-09-12,XLC,102.38177417477434,Communication Services
2025-09-12,XLE,99.42767147122342,Energy
2025-09-12,XLF,101.20391759093765,Financials
2025-09-12,XLI,100.1453440136779,Industrials
2025-09-12,XLK,100.27022297483516,Technology
2025-09-12,XLP,100.47534422780741,Consumer Staples
2025-09-12,XLRE,101.17057360652059,Real Estate
2025-09-12,XLU,101.03993316284236,Utilities
2025-09-12,XLV,100.5679684343403,Healthcare
2025-09-12,XLY,102.47348271638623,Consumer Discretionary
2025-09-15,XLB,100.25357051069763,Materials
2025-09-15,XLC,103.82131527509051,Communication Services
2025-09-15,XLE,99.09101230470581,Energy
2025-09-15,XLF,100.97818076537442,Financials
2025-09-15,XLI,100.6078124500616,Industrials
2025-09-15,XLK,101.17343043615075,Technology
2025-09-15,XLP,99.32450154181336,Consumer Staples
2025-09-15,XLRE,101.05112174078634,Real Estate
2025-09-15,XLU,101.27628203019256,Utilities
2025-09-15,XLV,99.7087352957336,Healthcare
2025-09-15,XLY,103.36238654363912,Consumer Discretionary
2025-09-16,XLB,99.94488230582425,Materials
2025-09-16,XLC,103.40254801531401,Communication Services
2025-09-16,XLE,100.75186595856974,Energy
2025-09-16,XLF,100.75245122705094,Financials
2025-09-16,XLI,100.31049745453966,Industrials
2025-09-16,XLK,100.82176355580548,Technology
2025-09-16,XLP,99.77482403867413,Consumer Staples
2025-09-16,XLRE,100.45390954804188,Real Estate
2025-09-16,XLU,99.43275530436532,Utilities
2025-09-16,XLV,99.7087352957336,Healthcare
2025-09-16,XLY,103.99794422871862,Consumer Discretionary
2025-09-17,XLB,100.17638347253634,Materials
2025-09-17,XLC,103.67300917221078,Communication Services
2025-09-17,XLE,100.9875353208287,Energy
2025-09-17,XLF,101.73063199242536,Financials
2025-09-17,XLI,99.85463556423223,Industrials
2025-09-17,XLK,100.47381002698029,Technology
2025-09-17,XLP,100.37527692121479,Consumer Staples
2025-09-17,XLRE,100.40612314543695,Real Estate
2025-09-17,XLU,99.68092022495912,Utilities
2025-09-17,XLV,99.9053310575405,Healthcare
2025-09-17,XLY,103.73599385302464,Consumer Discretionary
2025-09-18,XLB,100.17638347253634,Materials
2025-09-18,XLC,103.75151623848704,Communication Services
2025-09-18,XLE,100.67331833303524,Energy
2025-09-18,XLF,101.82468839580672,Financials
2025-09-18,XLI,100.91833032669115,Industrials
2025-09-18,XLK,102.20988703121634,Technology
2025-09-18,XLP,99.49961442405193,Consumer Staples
2025-09-18,XLRE,100.47778860856629,Real Estate
2025-09-18,XLU,99.75183507940619,Utilities
2025-09-18,XLV,100.10193812445156,Healthcare
2025-09-18,XLY,103.26791826678117,Consumer Discretionary
2025-09-19,XLB,100.13229616836965,Materials
2025-09-19,XLC,104.17901848778055,Communication Services
2025-09-19,XLE,99.33788509922321,Energy
2025-09-19,XLF,102.05041793413021,Financials
2025-09-19,XLI,101.16277253151307,Industrials
2025-09-19,XLK,103.24634362628193,Technology
2025-09-19,XLP,99.29947000226971,Consumer Staples
2025-09-19,XLRE,99.97612093947559,Real Estate
2025-09-19,XLU,100.38997609450249,Utilities
2025-09-19,XLV,99.97086674651085,Healthcare
2025-09-19,XLY,103.65869442279264,Consumer Discretionary
2025-09-22,XLB,100.09796322306967,Materials
2025-09-22,XLC,103.81569414757725,Communication Services
2025-09-22,XLE,99.22357301026955,Energy
2025-09-22,XLF,101.91454006185555,Financials
2025-09-22,XLI,101.50112571664943,Industrials
2025-09-22,XLK,104.76524066776281,Technology
2025-09-22,XLP,98.19235404170105,Consumer Staples
2025-09-22,XLRE,100.30589331065781,Real Estate
2025-09-22,XLU,101.36315550713806,Utilities
2025-09-22,XLV,99.94527199063214,Healthcare
2025-09-22,XLY,103.32100301986806,Consumer Discretionary
2025-09-23,XLB,99.7767373699251,Materials
2025-09-23,XLC,103.66686232773586,Communication Services
2025-09-23,XLE,100.932568757203,Energy
2025-09-23,XLF,101.46157981382122,Financials
2025-09-23,XLI,101.52764380035897,Industrials
2025-09-23,XLK,103.86086355749751,Technology
2025-09-23,XLP,98.68355877085725,Consumer Staples
2025-09-23,XLRE,101.1002468037128,Real Estate
2025-09-23,XLU,101.88662983456136,Utilities
2025-09-23,XLV,100.17204107551333,Healthcare
2025-09-23,XLY,102.34879726946664,Consumer Discretionary
2025-09-24,XLB,98.55833316419498,Materials
2025-09-24,XLC,102.8088855063271,Communication Services
2025-09-24,XLE,102.24544504111721,Energy
2025-09-24,XLF,101.17849241146932,Financials
2025-09-24,XLI,101.0035721298514,Industrials
2025-09-24,XLK,103.21965746092378,Technology
2025-09-24,XLP,98.89768044336428,Consumer Staples
2025-09-24,XLRE,100.06518898678497,Real Estate
2025-09-24,XLU,102.61234865605138,Utilities
2025-09-24,XLV,99.76971502771673,Healthcare
2025-09-24,XLY,103.07150666138043,Consumer Discretionary
